time,XRHand_IndexMetacarpal_x,XRHand_IndexMetacarpal_y,XRHand_IndexMetacarpal_z,XRHand_IndexMetacarpal_qx,XRHand_IndexMetacarpal_qy,XRHand_IndexMetacarpal_qz,XRHand_IndexMetacarpal_qw,XRHand_IndexProximal_x,XRHand_IndexProximal_y,XRHand_IndexProximal_z,XRHand_IndexProximal_qx,XRHand_IndexProximal_qy,XRHand_IndexProximal_qz,XRHand_IndexProximal_qw,XRHand_IndexIntermediate_x,XRHand_IndexIntermediate_y,XRHand_IndexIntermediate_z,XRHand_IndexIntermediate_qx,XRHand_IndexIntermediate_qy,XRHand_IndexIntermediate_qz,XRHand_IndexIntermediate_qw,XRHand_IndexDistal_x,XRHand_IndexDistal_y,XRHand_IndexDistal_z,XRHand_IndexDistal_qx,XRHand_IndexDistal_qy,XRHand_IndexDistal_qz,XRHand_IndexDistal_qw,XRHand_IndexTip_x,XRHand_IndexTip_y,XRHand_IndexTip_z,XRHand_IndexTip_qx,XRHand_IndexTip_qy,XRHand_IndexTip_qz,XRHand_IndexTip_qw,XRHand_LittleMetacarpal_x,XRHand_LittleMetacarpal_y,XRHand_LittleMetacarpal_z,XRHand_LittleMetacarpal_qx,XRHand_LittleMetacarpal_qy,XRHand_LittleMetacarpal_qz,XRHand_LittleMetacarpal_qw,XRHand_LittleProximal_x,XRHand_LittleProximal_y,XRHand_LittleProximal_z,XRHand_LittleProximal_qx,XRHand_LittleProximal_qy,XRHand_LittleProximal_qz,XRHand_LittleProximal_qw,XRHand_LittleIntermediate_x,XRHand_LittleIntermediate_y,XRHand_LittleIntermediate_z,XRHand_LittleIntermediate_qx,XRHand_LittleIntermediate_qy,XRHand_LittleIntermediate_qz,XRHand_LittleIntermediate_qw,XRHand_LittleDistal_x,XRHand_LittleDistal_y,XRHand_LittleDistal_z,XRHand_LittleDistal_qx,XRHand_LittleDistal_qy,XRHand_LittleDistal_qz,XRHand_LittleDistal_qw,XRHand_LittleTip_x,XRHand_LittleTip_y,XRHand_LittleTip_z,XRHand_LittleTip_qx,XRHand_LittleTip_qy,XRHand_LittleTip_qz,XRHand_LittleTip_qw,XRHand_MiddleMetacarpal_x,XRHand_MiddleMetacarpal_y,XRHand_MiddleMetacarpal_z,XRHand_MiddleMetacarpal_qx,XRHand_MiddleMetacarpal_qy,XRHand_MiddleMetacarpal_qz,XRHand_MiddleMetacarpal_qw,XRHand_MiddleProximal_x,XRHand_MiddleProximal_y,XRHand_MiddleProximal_z,XRHand_MiddleProximal_qx,XRHand_MiddleProximal_qy,XRHand_MiddleProximal_qz,XRHand_MiddleProximal_qw,XRHand_MiddleIntermediate_x,XRHand_MiddleIntermediate_y,XRHand_MiddleIntermediate_z,XRHand_MiddleIntermediate_qx,XRHand_MiddleIntermediate_qy,XRHand_MiddleIntermediate_qz,XRHand_MiddleIntermediate_qw,XRHand_MiddleDistal_x,XRHand_MiddleDistal_y,XRHand_MiddleDistal_z,XRHand_MiddleDistal_qx,XRHand_MiddleDistal_qy,XRHand_MiddleDistal_qz,XRHand_MiddleDistal_qw,XRHand_MiddleTip_x,XRHand_MiddleTip_y,XRHand_MiddleTip_z,XRHand_MiddleTip_qx,XRHand_MiddleTip_qy,XRHand_MiddleTip_qz,XRHand_MiddleTip_qw,XRHand_Palm_x,XRHand_Palm_y,XRHand_Palm_z,XRHand_Palm_qx,XRHand_Palm_qy,XRHand_Palm_qz,XRHand_Palm_qw,XRHand_RingMetacarpal_x,XRHand_RingMetacarpal_y,XRHand_RingMetacarpal_z,XRHand_RingMetacarpal_qx,XRHand_RingMetacarpal_qy,XRHand_RingMetacarpal_qz,XRHand_RingMetacarpal_qw,XRHand_RingProximal_x,XRHand_RingProximal_y,XRHand_RingProximal_z,XRHand_RingProximal_qx,XRHand_RingProximal_qy,XRHand_RingProximal_qz,XRHand_RingProximal_qw,XRHand_RingIntermediate_x,XRHand_RingIntermediate_y,XRHand_RingIntermediate_z,XRHand_RingIntermediate_qx,XRHand_RingIntermediate_qy,XRHand_RingIntermediate_qz,XRHand_RingIntermediate_qw,XRHand_RingDistal_x,XRHand_RingDistal_y,XRHand_RingDistal_z,XRHand_RingDistal_qx,XRHand_RingDistal_qy,XRHand_RingDistal_qz,XRHand_RingDistal_qw,XRHand_RingTip_x,XRHand_RingTip_y,XRHand_RingTip_z,XRHand_RingTip_qx,XRHand_RingTip_qy,XRHand_RingTip_qz,XRHand_RingTip_qw,XRHand_ThumbMetacarpal_x,XRHand_ThumbMetacarpal_y,XRHand_ThumbMetacarpal_z,XRHand_ThumbMetacarpal_qx,XRHand_ThumbMetacarpal_qy,XRHand_ThumbMetacarpal_qz,XRHand_ThumbMetacarpal_qw,XRHand_ThumbProximal_x,XRHand_ThumbProximal_y,XRHand_ThumbProximal_z,XRHand_ThumbProximal_qx,XRHand_ThumbProximal_qy,XRHand_ThumbProximal_qz,XRHand_ThumbProximal_qw,XRHand_ThumbDistal_x,XRHand_ThumbDistal_y,XRHand_ThumbDistal_z,XRHand_ThumbDistal_qx,XRHand_ThumbDistal_qy,XRHand_ThumbDistal_qz,XRHand_ThumbDistal_qw,XRHand_ThumbTip_x,XRHand_ThumbTip_y,XRHand_ThumbTip_z,XRHand_ThumbTip_qx,XRHand_ThumbTip_qy,XRHand_ThumbTip_qz,XRHand_ThumbTip_qw
0.000000,-0.021953,0.020277,0.026486,0.038541,-0.158588,0.072759,0.983906,-0.033283,0.048282,0.079902,0.010212,0.172328,-0.050074,0.983713,-0.036275,0.064577,0.114020,0.003287,0.012198,-0.025853,0.999586,-0.037900,0.074801,0.136003,-0.072068,0.020174,-0.015902,0.997069,-0.037558,0.080908,0.145839,0.000001,0.002195,0.000000,0.999998,0.015730,0.004548,0.038828,0.018309,0.140365,-0.207036,0.968039,0.021851,0.020694,0.081106,0.028202,-0.004874,0.091091,0.995431,0.024721,0.030487,0.110082,-0.013306,0.044007,-0.037610,0.998234,0.028340,0.036379,0.129180,-0.024019,-0.049407,0.000638,0.998490,0.029866,0.040947,0.140071,0.000000,-0.000739,0.000000,1.000000,-0.004208,0.023703,0.026942,0.015148,-0.029561,-0.000725,0.999448,-0.011124,0.047210,0.082493,0.036385,0.079903,-0.010686,0.996081,-0.012242,0.064253,0.121877,-0.001997,0.004555,-0.011225,0.999925,-0.012689,0.075211,0.147149,-0.092967,0.007303,-0.034430,0.995047,-0.011936,0.081872,0.157347,0.000000,-0.003577,0.000000,0.999994,-0.002492,0.032126,0.053924,0.000000,0.019156,0.000000,0.999817,0.006885,0.016912,0.030684,0.050160,0.129610,-0.052833,0.988885,0.006443,0.036075,0.082893,0.000000,-0.003875,0.000000,0.999993,0.010465,0.049642,0.119230,0.005742,-0.000626,-0.033621,0.999418,0.013214,0.058571,0.144109,-0.025034,-0.029504,-0.003432,0.999245,0.014118,0.063388,0.154996,-0.000001,0.000945,0.000000,1.000000,-0.035733,0.008734,0.033054,-0.004828,-0.377623,0.627202,0.681172,-0.058564,0.011825,0.055992,-0.083924,0.074026,-0.078604,0.990605,-0.084425,0.021140,0.075648,-0.058123,-0.064489,0.080223,0.992989,-0.097212,0.023645,0.082800,0.000001,0.000049,0.000000,1.000000
0.016667,-0.021953,0.020277,0.026486,0.038541,-0.158588,0.072759,0.983906,-0.033283,0.048282,0.079902,0.010212,0.172328,-0.050074,0.983713,-0.036275,0.064577,0.114020,0.003287,0.012198,-0.025853,0.999586,-0.037900,0.074801,0.136003,-0.072068,0.020174,-0.015902,0.997069,-0.037558,0.080908,0.145839,0.000001,0.002195,0.000000,0.999998,0.015730,0.004548,0.038828,0.018309,0.140365,-0.207036,0.968039,0.021851,0.020694,0.081106,0.028202,-0.004874,0.091091,0.995431,0.024721,0.030487,0.110082,-0.013306,0.044007,-0.037610,0.998234,0.028340,0.036379,0.129180,-0.024019,-0.049407,0.000638,0.998490,0.029866,0.040947,0.140071,0.000000,-0.000739,0.000000,1.000000,-0.004208,0.023703,0.026942,0.015148,-0.029561,-0.000725,0.999448,-0.011124,0.047210,0.082493,0.036385,0.079903,-0.010686,0.996081,-0.012242,0.064253,0.121877,-0.001997,0.004555,-0.011225,0.999925,-0.012689,0.075211,0.147149,-0.092967,0.007303,-0.034430,0.995047,-0.011936,0.081872,0.157347,0.000000,-0.003577,0.000000,0.999994,-0.002492,0.032126,0.053924,0.000000,0.019156,0.000000,0.999817,0.006885,0.016912,0.030684,0.050160,0.129610,-0.052833,0.988885,0.006443,0.036075,0.082893,0.000000,-0.003875,0.000000,0.999993,0.010465,0.049642,0.119230,0.005742,-0.000626,-0.033621,0.999418,0.013214,0.058571,0.144109,-0.025034,-0.029504,-0.003432,0.999245,0.014118,0.063388,0.154996,-0.000001,0.000945,0.000000,1.000000,-0.035733,0.008734,0.033054,-0.004828,-0.377623,0.627202,0.681172,-0.058564,0.011825,0.055992,-0.083924,0.074026,-0.078604,0.990605,-0.084425,0.021140,0.075648,-0.058123,-0.064489,0.080223,0.992989,-0.097212,0.023645,0.082800,0.000001,0.000049,0.000000,1.000000
0.033333,-0.021954,0.020270,0.026490,0.038541,-0.158588,0.072759,0.983906,-0.033287,0.048262,0.079912,0.010212,0.172328,-0.050074,0.983713,-0.036280,0.064549,0.114034,0.003287,0.012198,-0.025853,0.999586,-0.037906,0.074769,0.136019,-0.072068,0.020174,-0.015902,0.997069,-0.037564,0.080874,0.145857,0.000001,0.002195,0.000000,0.999998,0.015729,0.004540,0.038829,0.018309,0.140365,-0.207036,0.968039,0.021849,0.020676,0.081111,0.028202,-0.004874,0.091091,0.995431,0.024718,0.030464,0.110089,-0.013306,0.044007,-0.037610,0.998234,0.028336,0.036351,0.129188,-0.024019,-0.049407,0.000638,0.998490,0.029862,0.040917,0.140081,0.000000,-0.000739,0.000000,1.000000,-0.004209,0.023696,0.026947,0.015148,-0.029561,-0.000725,0.999448,-0.011127,0.047191,0.082503,0.036385,0.079903,-0.010686,0.996081,-0.012247,0.064225,0.121891,-0.001997,0.004555,-0.011225,0.999925,-0.012695,0.075178,0.147166,-0.092967,0.007303,-0.034430,0.995047,-0.011943,0.081836,0.157365,0.000000,-0.003577,0.000000,0.999994,-0.002494,0.032114,0.053931,0.000000,0.019156,0.000000,0.999817,0.006884,0.016905,0.030687,0.050160,0.129610,-0.052833,0.988885,0.006440,0.036056,0.082901,0.000000,-0.003875,0.000000,0.999993,0.010460,0.049616,0.119241,0.005742,-0.000626,-0.033621,0.999418,0.013209,0.058539,0.144122,-0.025034,-0.029504,-0.003432,0.999245,0.014112,0.063354,0.155010,-0.000001,0.000945,0.000000,1.000000,-0.035734,0.008725,0.033055,-0.004828,-0.377623,0.627202,0.681172,-0.058566,0.011810,0.055993,-0.083924,0.074026,-0.078604,0.990605,-0.084427,0.021119,0.075652,-0.058123,-0.064489,0.080223,0.992989,-0.097214,0.023622,0.082803,0.000001,0.000049,0.000000,1.000000
0.050000,-0.021981,0.020137,0.026568,0.038541,-0.158588,0.072759,0.983906,-0.033357,0.047890,0.080107,0.010212,0.172328,-0.050074,0.983713,-0.036377,0.064028,0.114296,0.003287,0.012198,-0.025853,0.999586,-0.038019,0.074152,0.136324,-0.072068,0.020174,-0.015902,0.997069,-0.037687,0.080215,0.146188,0.000001,0.002195,0.000000,0.999998,0.015711,0.004387,0.038854,0.018309,0.140365,-0.207036,0.968039,0.021802,0.020348,0.081206,0.028202,-0.004874,0.091091,0.995431,0.024652,0.030013,0.110227,-0.013306,0.044007,-0.037610,0.998234,0.028259,0.035822,0.129353,-0.024019,-0.049407,0.000638,0.998490,0.029776,0.040342,0.140265,0.000000,-0.000739,0.000000,1.000000,-0.004239,0.023577,0.027047,0.015148,-0.029561,-0.000725,0.999448,-0.011198,0.046827,0.082701,0.036385,0.079903,-0.010686,0.996081,-0.012346,0.063691,0.122161,-0.001997,0.004555,-0.011225,0.999925,-0.012813,0.074535,0.147482,-0.092967,0.007303,-0.034430,0.995047,-0.012070,0.081151,0.157710,0.000000,-0.003577,0.000000,0.999994,-0.002541,0.031881,0.054068,0.000000,0.019156,0.000000,0.999817,0.006858,0.016779,0.030762,0.050160,0.129610,-0.052833,0.988885,0.006379,0.035706,0.083057,0.000000,-0.003875,0.000000,0.999993,0.010375,0.049114,0.119456,0.005742,-0.000626,-0.033621,0.999418,0.013107,0.057932,0.144376,-0.025034,-0.029504,-0.003432,0.999245,0.014002,0.062702,0.155285,-0.000001,0.000945,0.000000,1.000000,-0.035753,0.008552,0.033080,-0.004828,-0.377623,0.627202,0.681172,-0.058596,0.011519,0.056023,-0.083924,0.074026,-0.078604,0.990605,-0.084472,0.020721,0.075711,-0.058123,-0.064489,0.080223,0.992989,-0.097264,0.023182,0.082869,0.000001,0.000049,0.000000,1.000000
0.066667,-0.021991,0.020127,0.026568,0.038541,-0.158588,0.072759,0.983906,-0.033387,0.047860,0.080112,0.010212,0.172328,-0.050074,0.983713,-0.036419,0.063985,0.114307,0.003287,0.012198,-0.025853,0.999586,-0.038069,0.074101,0.136338,-0.072068,0.020174,-0.015902,0.997069,-0.037740,0.080160,0.146205,0.000001,0.002195,0.000000,0.999998,0.015697,0.004373,0.038861,0.018309,0.140365,-0.207036,0.968039,0.021773,0.020318,0.081222,0.028202,-0.004874,0.091091,0.995431,0.024612,0.029972,0.110247,-0.013306,0.044007,-0.037610,0.998234,0.028212,0.035774,0.129377,-0.024019,-0.049407,0.000638,0.998490,0.029725,0.040290,0.140291,0.000000,-0.000739,0.000000,1.000000,-0.004249,0.023567,0.027054,0.015148,-0.029561,-0.000725,0.999448,-0.011228,0.046796,0.082714,0.036385,0.079903,-0.010686,0.996081,-0.012391,0.063646,0.122180,-0.001997,0.004555,-0.011225,0.999925,-0.012866,0.074480,0.147505,-0.092967,0.007303,-0.034430,0.995047,-0.012128,0.081092,0.157736,0.000000,-0.003577,0.000000,0.999994,-0.002561,0.031860,0.054079,0.000000,0.019156,0.000000,0.999817,0.006847,0.016768,0.030771,0.050160,0.129610,-0.052833,0.988885,0.006348,0.035675,0.083073,0.000000,-0.003875,0.000000,0.999993,0.010331,0.049069,0.119478,0.005742,-0.000626,-0.033621,0.999418,0.013055,0.057878,0.144403,-0.025034,-0.029504,-0.003432,0.999245,0.013946,0.062644,0.155314,-0.000001,0.000945,0.000000,1.000000,-0.035765,0.008539,0.033070,-0.004828,-0.377623,0.627202,0.681172,-0.058616,0.011497,0.056006,-0.083924,0.074026,-0.078604,0.990605,-0.084500,0.020692,0.075689,-0.058123,-0.064489,0.080223,0.992989,-0.097294,0.023150,0.082843,0.000001,0.000049,0.000000,1.000000
0.083333,-0.022011,0.020189,0.026505,0.038541,-0.158588,0.072759,0.983906,-0.033455,0.048024,0.079986,0.010212,0.172328,-0.050074,0.983713,-0.036520,0.064211,0.114148,0.003287,0.012198,-0.025853,0.999586,-0.038191,0.074366,0.136160,-0.072068,0.020174,-0.015902,0.997069,-0.037871,0.080442,0.146016,0.000001,0.002195,0.000000,0.999998,0.015650,0.004429,0.038874,0.018309,0.140365,-0.207036,0.968039,0.021682,0.020443,0.081214,0.028202,-0.004874,0.091091,0.995431,0.024492,0.030146,0.110227,-0.013306,0.044007,-0.037610,0.998234,0.028071,0.035979,0.129350,-0.024019,-0.049407,0.000638,0.998490,0.029573,0.040513,0.140259,0.000000,-0.000739,0.000000,1.000000,-0.004267,0.023617,0.027008,0.015148,-0.029561,-0.000725,0.999448,-0.011301,0.046948,0.082618,0.036385,0.079903,-0.010686,0.996081,-0.012502,0.063867,0.122053,-0.001997,0.004555,-0.011225,0.999925,-0.013003,0.074746,0.147359,-0.092967,0.007303,-0.034430,0.995047,-0.012272,0.081375,0.157579,0.000000,-0.003577,0.000000,0.999994,-0.002608,0.031956,0.054020,0.000000,0.019156,0.000000,0.999817,0.006820,0.016817,0.030750,0.050160,0.129610,-0.052833,0.988885,0.006267,0.035815,0.083019,0.000000,-0.003875,0.000000,0.999993,0.010213,0.049270,0.119406,0.005742,-0.000626,-0.033621,0.999418,0.012910,0.058121,0.144319,-0.025034,-0.029504,-0.003432,0.999245,0.013790,0.062904,0.155222,-0.000001,0.000945,0.000000,1.000000,-0.035801,0.008622,0.033009,-0.004828,-0.377623,0.627202,0.681172,-0.058680,0.011637,0.055910,-0.083924,0.074026,-0.078604,0.990605,-0.084582,0.020885,0.075543,-0.058123,-0.064489,0.080223,0.992989,-0.097384,0.023365,0.082677,0.000001,0.000049,0.000000,1.000000
0.100000,-0.022044,0.020302,0.026390,0.038541,-0.158588,0.072759,0.983906,-0.033573,0.048321,0.079757,0.010212,0.172328,-0.050074,0.983713,-0.036694,0.064620,0.113861,0.003287,0.012198,-0.025853,0.999586,-0.038402,0.074848,0.135836,-0.072068,0.020174,-0.015902,0.997069,-0.038096,0.080955,0.145674,0.000001,0.002195,0.000000,0.999998,0.015568,0.004532,0.038895,0.018309,0.140365,-0.207036,0.968039,0.021525,0.020673,0.081198,0.028202,-0.004874,0.091091,0.995431,0.024281,0.030464,0.110186,-0.013306,0.044007,-0.037610,0.998234,0.027824,0.036352,0.129299,-0.024019,-0.049407,0.000638,0.998490,0.029308,0.040919,0.140197,0.000000,-0.000739,0.000000,1.000000,-0.004297,0.023708,0.026923,0.015148,-0.029561,-0.000725,0.999448,-0.011426,0.047225,0.082443,0.036385,0.079903,-0.010686,0.996081,-0.012695,0.064271,0.121821,-0.001997,0.004555,-0.011225,0.999925,-0.013239,0.075230,0.147091,-0.092967,0.007303,-0.034430,0.995047,-0.012523,0.081891,0.157291,0.000000,-0.003577,0.000000,0.999994,-0.002688,0.032131,0.053912,0.000000,0.019156,0.000000,0.999817,0.006772,0.016905,0.030712,0.050160,0.129610,-0.052833,0.988885,0.006126,0.036070,0.082919,0.000000,-0.003875,0.000000,0.999993,0.010007,0.049635,0.119272,0.005742,-0.000626,-0.033621,0.999418,0.012659,0.058561,0.144163,-0.025034,-0.029504,-0.003432,0.999245,0.013521,0.063378,0.155053,-0.000001,0.000945,0.000000,1.000000,-0.035865,0.008774,0.032900,-0.004828,-0.377623,0.627202,0.681172,-0.058791,0.011891,0.055739,-0.083924,0.074026,-0.078604,0.990605,-0.084726,0.021235,0.075284,-0.058123,-0.064489,0.080223,0.992989,-0.097540,0.023755,0.082381,0.000001,0.000049,0.000000,1.000000
0.116667,-0.022090,0.020462,0.026228,0.038541,-0.158588,0.072759,0.983906,-0.033736,0.048744,0.079430,0.010212,0.172328,-0.050074,0.983713,-0.036935,0.065203,0.113450,0.003287,0.012198,-0.025853,0.999586,-0.038694,0.075532,0.135374,-0.072068,0.020174,-0.015902,0.997069,-0.038407,0.081683,0.145185,0.000001,0.002195,0.000000,0.999998,0.015452,0.004678,0.038924,0.018309,0.140365,-0.207036,0.968039,0.021305,0.020999,0.081173,0.028202,-0.004874,0.091091,0.995431,0.023987,0.030916,0.110125,-0.013306,0.044007,-0.037610,0.998234,0.027481,0.036883,0.129222,-0.024019,-0.049407,0.000638,0.998490,0.028939,0.041497,0.140104,0.000000,-0.000739,0.000000,1.000000,-0.004338,0.023837,0.026802,0.015148,-0.029561,-0.000725,0.999448,-0.011600,0.047618,0.082192,0.036385,0.079903,-0.010686,0.996081,-0.012962,0.064844,0.121489,-0.001997,0.004555,-0.011225,0.999925,-0.013566,0.075918,0.146707,-0.092967,0.007303,-0.034430,0.995047,-0.012869,0.082624,0.156880,0.000000,-0.003577,0.000000,0.999994,-0.002799,0.032379,0.053758,0.000000,0.019156,0.000000,0.999817,0.006706,0.017031,0.030657,0.050160,0.129610,-0.052833,0.988885,0.005930,0.036433,0.082774,0.000000,-0.003875,0.000000,0.999993,0.009720,0.050154,0.119078,0.005742,-0.000626,-0.033621,0.999418,0.012310,0.059188,0.143937,-0.025034,-0.029504,-0.003432,0.999245,0.013146,0.064052,0.154808,-0.000001,0.000945,0.000000,1.000000,-0.035953,0.008990,0.032745,-0.004828,-0.377623,0.627202,0.681172,-0.058946,0.012253,0.055497,-0.083924,0.074026,-0.078604,0.990605,-0.084925,0.021734,0.074916,-0.058123,-0.064489,0.080223,0.992989,-0.097758,0.024309,0.081960,0.000001,0.000049,0.000000,1.000000
0.133333,-0.022146,0.020666,0.026020,0.038541,-0.158588,0.072759,0.983906,-0.033939,0.049282,0.079011,0.010212,0.172328,-0.050074,0.983713,-0.037235,0.065944,0.112922,0.003287,0.012198,-0.025853,0.999586,-0.039057,0.076404,0.134779,-0.072068,0.020174,-0.015902,0.997069,-0.038796,0.082611,0.144555,0.000001,0.002195,0.000000,0.999998,0.015306,0.004865,0.038958,0.018309,0.140365,-0.207036,0.968039,0.021028,0.021415,0.081136,0.028202,-0.004874,0.091091,0.995431,0.023617,0.031493,0.110041,-0.013306,0.044007,-0.037610,0.998234,0.027047,0.037562,0.129118,-0.024019,-0.049407,0.000638,0.998490,0.028472,0.042235,0.139979,0.000000,-0.000739,0.000000,1.000000,-0.004389,0.024002,0.026646,0.015148,-0.029561,-0.000725,0.999448,-0.011817,0.048119,0.081869,0.036385,0.079903,-0.010686,0.996081,-0.013296,0.065574,0.121060,-0.001997,0.004555,-0.011225,0.999925,-0.013974,0.076796,0.146211,-0.092967,0.007303,-0.034430,0.995047,-0.013303,0.083558,0.156348,0.000000,-0.003577,0.000000,0.999994,-0.002938,0.032695,0.053559,0.000000,0.019156,0.000000,0.999817,0.006623,0.017191,0.030586,0.050160,0.129610,-0.052833,0.988885,0.005683,0.036895,0.082587,0.000000,-0.003875,0.000000,0.999993,0.009360,0.050817,0.118826,0.005742,-0.000626,-0.033621,0.999418,0.011872,0.059987,0.143642,-0.025034,-0.029504,-0.003432,0.999245,0.012676,0.064912,0.154489,-0.000001,0.000945,0.000000,1.000000,-0.036063,0.009265,0.032547,-0.004828,-0.377623,0.627202,0.681172,-0.059140,0.012715,0.055186,-0.083924,0.074026,-0.078604,0.990605,-0.085174,0.022369,0.074445,-0.058123,-0.064489,0.080223,0.992989,-0.098029,0.025016,0.081422,0.000001,0.000049,0.000000,1.000000
0.150000,-0.022211,0.020910,0.025768,0.038541,-0.158588,0.072759,0.983906,-0.034176,0.049926,0.078503,0.010212,0.172328,-0.050074,0.983713,-0.037587,0.066833,0.112282,0.003287,0.012198,-0.025853,0.999586,-0.039485,0.077449,0.134056,-0.072068,0.020174,-0.015902,0.997069,-0.039252,0.083722,0.143790,0.000001,0.002195,0.000000,0.999998,0.015132,0.005091,0.038998,0.018309,0.140365,-0.207036,0.968039,0.020698,0.021916,0.081087,0.028202,-0.004874,0.091091,0.995431,0.023177,0.032186,0.109934,-0.013306,0.044007,-0.037610,0.998234,0.026533,0.038377,0.128985,-0.024019,-0.049407,0.000638,0.998490,0.027919,0.043121,0.139820,0.000000,-0.000739,0.000000,1.000000,-0.004447,0.024199,0.026458,0.015148,-0.029561,-0.000725,0.999448,-0.012071,0.048719,0.081476,0.036385,0.079903,-0.010686,0.996081,-0.013689,0.066450,0.120537,-0.001997,0.004555,-0.011225,0.999925,-0.014456,0.077847,0.145607,-0.092967,0.007303,-0.034430,0.995047,-0.013814,0.084677,0.155700,0.000000,-0.003577,0.000000,0.999994,-0.003101,0.033074,0.053316,0.000000,0.019156,0.000000,0.999817,0.006525,0.017384,0.030498,0.050160,0.129610,-0.052833,0.988885,0.005392,0.037450,0.082356,0.000000,-0.003875,0.000000,0.999993,0.008934,0.051612,0.118516,0.005742,-0.000626,-0.033621,0.999418,0.011352,0.060946,0.143280,-0.025034,-0.029504,-0.003432,0.999245,0.012119,0.065944,0.154096,-0.000001,0.000945,0.000000,1.000000,-0.036193,0.009594,0.032306,-0.004828,-0.377623,0.627202,0.681172,-0.059369,0.013268,0.054809,-0.083924,0.074026,-0.078604,0.990605,-0.085468,0.023131,0.073874,-0.058123,-0.064489,0.080223,0.992989,-0.098348,0.025863,0.080770,0.000001,0.000049,0.000000,1.000000
0.166667,-0.022283,0.021190,0.025476,0.038541,-0.158588,0.072759,0.983906,-0.034442,0.050667,0.077909,0.010212,0.172328,-0.050074,0.983713,-0.037984,0.067855,0.111533,0.003287,0.012198,-0.025853,0.999586,-0.039967,0.078651,0.133210,-0.072068,0.020174,-0.015902,0.997069,-0.039767,0.085001,0.142896,0.000001,0.002195,0.000000,0.999998,0.014931,0.005352,0.039040,0.018309,0.140365,-0.207036,0.968039,0.020320,0.022494,0.081024,0.028202,-0.004874,0.091091,0.995431,0.022673,0.032986,0.109802,-0.013306,0.044007,-0.037610,0.998234,0.025944,0.039318,0.128821,-0.024019,-0.049407,0.000638,0.998490,0.027286,0.044144,0.139626,0.000000,-0.000739,0.000000,1.000000,-0.004512,0.024424,0.026239,0.015148,-0.029561,-0.000725,0.999448,-0.012359,0.049410,0.081015,0.036385,0.079903,-0.010686,0.996081,-0.014134,0.067457,0.119925,-0.001997,0.004555,-0.011225,0.999925,-0.015002,0.079057,0.144898,-0.092967,0.007303,-0.034430,0.995047,-0.014393,0.085966,0.154940,0.000000,-0.003577,0.000000,0.999994,-0.003285,0.033510,0.053033,0.000000,0.019156,0.000000,0.999817,0.006415,0.017605,0.030394,0.050160,0.129610,-0.052833,0.988885,0.005061,0.038089,0.082084,0.000000,-0.003875,0.000000,0.999993,0.008450,0.052528,0.118148,0.005742,-0.000626,-0.033621,0.999418,0.010762,0.062052,0.142850,-0.025034,-0.029504,-0.003432,0.999245,0.011485,0.067134,0.153630,-0.000001,0.000945,0.000000,1.000000,-0.036339,0.009974,0.032026,-0.004828,-0.377623,0.627202,0.681172,-0.059628,0.013905,0.054368,-0.083924,0.074026,-0.078604,0.990605,-0.085798,0.024009,0.073207,-0.058123,-0.064489,0.080223,0.992989,-0.098707,0.026839,0.080009,0.000001,0.000049,0.000000,1.000000
0.183333,-0.022359,0.021502,0.025145,0.038541,-0.158588,0.072759,0.983906,-0.034733,0.051495,0.077235,0.010212,0.172328,-0.050074,0.983713,-0.038418,0.068997,0.110680,0.003287,0.012198,-0.025853,0.999586,-0.040494,0.079995,0.132247,-0.072068,0.020174,-0.015902,0.997069,-0.040330,0.086431,0.141876,0.000001,0.002195,0.000000,0.999998,0.014708,0.005645,0.039083,0.018309,0.140365,-0.207036,0.968039,0.019901,0.023143,0.080946,0.028202,-0.004874,0.091091,0.995431,0.022115,0.033884,0.109642,-0.013306,0.044007,-0.037610,0.998234,0.025291,0.040375,0.128624,-0.024019,-0.049407,0.000638,0.998490,0.026584,0.045292,0.139393,0.000000,-0.000739,0.000000,1.000000,-0.004582,0.024676,0.025990,0.015148,-0.029561,-0.000725,0.999448,-0.012674,0.050182,0.080491,0.036385,0.079903,-0.010686,0.996081,-0.014622,0.068584,0.119225,-0.001997,0.004555,-0.011225,0.999925,-0.015601,0.080412,0.144088,-0.092967,0.007303,-0.034430,0.995047,-0.015028,0.087408,0.154070,0.000000,-0.003577,0.000000,0.999994,-0.003487,0.033997,0.052709,0.000000,0.019156,0.000000,0.999817,0.006293,0.017853,0.030275,0.050160,0.129610,-0.052833,0.988885,0.004695,0.038805,0.081769,0.000000,-0.003875,0.000000,0.999993,0.007914,0.053554,0.117724,0.005742,-0.000626,-0.033621,0.999418,0.010109,0.063291,0.142354,-0.025034,-0.029504,-0.003432,0.999245,0.010784,0.068466,0.153092,-0.000001,0.000945,0.000000,1.000000,-0.036500,0.010399,0.031706,-0.004828,-0.377623,0.627202,0.681172,-0.059912,0.014619,0.053866,-0.083924,0.074026,-0.078604,0.990605,-0.086161,0.024991,0.072450,-0.058123,-0.064489,0.080223,0.992989,-0.099101,0.027931,0.079145,0.000001,0.000049,0.000000,1.000000
